Ticker Symbol;Period Ending;Cash and Cash Equivalents;Net Income;Total Assets;Total Equity;Total Liabilities;Total Revenue;Earnings Per Share
AAL;2012-12-31;1330000000.0;-1876000000.0;23510000000.0;-7987000000.0;24891000000.0;24855000000.0;-5.6
AAL;2013-12-31;2175000000.0;-1834000000.0;42278000000.0;-2731000000.0;45009000000.0;26743000000.0;-11.25
AAL;2014-12-31;1768000000.0;2882000000.0;43225000000.0;2021000000.0;41204000000.0;42650000000.0;4.02
AAL;2015-12-31;1085000000.0;7610000000.0;48415000000.0;5635000000.0;42780000000.0;40990000000.0;11.39
AAP;2012-12-29;598111000.0;387670000.0;4613814000.0;1210694000.0;3403120000.0;6205003000.0;5.29
AAP;2013-12-28;1112471000.0;391758000.0;5564774000.0;1516205000.0;4048569000.0;6493814000.0;5.36
AAP;2015-01-03;104671000.0;493825000.0;7962358000.0;2002912000.0;5959446000.0;9843861000.0;6.75
AAP;2016-01-02;90782000.0;473398000.0;8134565000.0;2460648000.0;5673917000.0;9737018000.0;6.45
AAPL;2013-09-28;14259000000.0;37037000000.0;207000000000.0;123549000000.0;83451000000.0;170910000000.0;40.03
AAPL;2014-09-27;13844000000.0;39510000000.0;231839000000.0;111547000000.0;120292000000.0;182795000000.0;6.49
AAPL;2015-09-26;21120000000.0;53394000000.0;290345000000.0;119355000000.0;170990000000.0;233715000000.0;9.28
AAPL;2016-09-24;20484000000.0;45687000000.0;321686000000.0;128249000000.0;193437000000.0;215639000000.0;8.35
ABBV;2012-12-31;5901000000.0;5275000000.0;27008000000.0;-350000000.0;27358000000.0;18380000000.0;
ABBV;2013-12-31;9595000000.0;4128000000.0;29198000000.0;4492000000.0;24706000000.0;18790000000.0;2.58
ABBV;2014-12-31;8348000000.0;1774000000.0;27513000000.0;1742000000.0;25771000000.0;19960000000.0;1.11
ABBV;2015-12-31;8399000000.0;5144000000.0;53050000000.0;3945000000.0;49105000000.0;22859000000.0;3.15
ABC;2013-09-30;1231006000.0;433707000.0;18918638000.0;2319745000.0;16598893000.0;87959167000.0;1.88
ABC;2014-09-30;1808513000.0;274230000.0;21532183000.0;1956899000.0;19575284000.0;119569127000.0;1.22
ABC;2015-09-30;2167442000.0;-138165000.0;27962982000.0;616386000.0;27346596000.0;135961803000.0;-0.62
ABC;2016-09-30;2741832000.0;1427929000.0;33656200000.0;2129404000.0;31526796000.0;146849686000.0;6.73
ABT;2012-12-31;10802000000.0;5963000000.0;67235000000.0;26721000000.0;40514000000.0;19050000000.0;3.76
ABT;2013-12-31;3475000000.0;2576000000.0;42953000000.0;25171000000.0;17782000000.0;19657000000.0;1.64
ABT;2014-12-31;4063000000.0;2284000000.0;41207000000.0;21526000000.0;19681000000.0;20247000000.0;1.5
ABT;2015-12-31;5001000000.0;4423000000.0;41247000000.0;21211000000.0;20036000000.0;20405000000.0;2.94
ADBE;2013-11-29;834556000.0;289985000.0;10380298000.0;6724634000.0;3655664000.0;4055240000.0;0.58
ADBE;2014-11-28;1117400000.0;268395000.0;10785829000.0;6775905000.0;4009924000.0;4147065000.0;0.54
ADBE;2015-11-27;876560000.0;629551000.0;11726472000.0;7001580000.0;4724892000.0;4795511000.0;1.26
ADBE;2016-12-02;1011315000.0;1168782000.0;12707114000.0;7424835000.0;5282279000.0;5854430000.0;
ADI;2013-11-02;392089000.0;673487000.0;6381750000.0;4739576000.0;1642174000.0;2633689000.0;2.19
ADI;2014-11-01;569233000.0;629320000.0;6859690000.0;4757897000.0;2101793000.0;2864773000.0;0.35
ADI;2015-10-31;884353000.0;696878000.0;7058777000.0;5072959000.0;1985818000.0;3435092000.0;0.31
ADI;2016-10-29;921132000.0;861664000.0;7970278000.0;5165618000.0;2804660000.0;3421409000.0;0.96
ADM;2012-12-31;5352000000.0;1375000000.0;45136000000.0;18920000000.0;26005000000.0;90559000000.0;
ADM;2013-12-31;7082000000.0;1342000000.0;43752000000.0;20156000000.0;23558000000.0;89804000000.0;2.03
ADM;2014-12-31;5976000000.0;2248000000.0;43997000000.0;19575000000.0;24367000000.0;81201000000.0;3.44
ADM;2015-12-31;6124000000.0;1849000000.0;40157000000.0;17899000000.0;22242000000.0;67702000000.0;2.99
ADS;2012-12-31;1386042000.0;422256000.0;12000139000.0;528487000.0;11471652000.0;3641390000.0;8.44
ADS;2013-12-31;1480171000.0;496170000.0;13244257000.0;855761000.0;12388496000.0;4319063000.0;10.09
ADS;2014-12-31;1597492000.0;506293000.0;20263977000.0;2396380000.0;17867597000.0;5302940000.0;8.72
ADS;2015-12-31;1624601000.0;596541000.0;22421830000.0;2010030000.0;20411800000.0;6439746000.0;8.91
ADSK;2013-01-31;1612200000.0;247400000.0;4308400000.0;2043200000.0;2265200000.0;2312200000.0;1.09
ADSK;2014-01-31;1853000000.0;228800000.0;4595000000.0;2261500000.0;2333500000.0;2273900000.0;1.02
ADSK;2015-01-31;1410600000.0;81800000.0;4909700000.0;2219200000.0;2690500000.0;2512200000.0;0.36
ADSK;2016-01-31;1353000000.0;-330500000.0;5515300000.0;1619600000.0;3895700000.0;2504100000.0;-1.46
AEE;2012-12-31;184000000.0;-974000000.0;22230000000.0;6616000000.0;15614000000.0;5781000000.0;-4.01
AEE;2013-12-31;30000000.0;295000000.0;21042000000.0;6544000000.0;14498000000.0;5838000000.0;1.19
AEE;2014-12-31;5000000.0;592000000.0;22289000000.0;6713000000.0;15576000000.0;6053000000.0;2.42
AEE;2015-12-31;292000000.0;636000000.0;23640000000.0;6946000000.0;16694000000.0;6098000000.0;2.6
AEP;2012-12-31;355000000.0;1259000000.0;54367000000.0;15237000000.0;39130000000.0;14945000000.0;2.6
AEP;2013-12-31;188000000.0;1484200000.0;56414000000.0;16085000000.0;40329000000.0;14813500000.0;3.04
AEP;2014-12-31;257700000.0;1638000000.0;59544600000.0;16820200000.0;42724400000.0;16378600000.0;3.34
AEP;2015-12-31;283700000.0;2052300000.0;61683100000.0;17891700000.0;43791400000.0;16453200000.0;
AFL;2012-12-31;2041000000.0;2866000000.0;131094000000.0;15978000000.0;115116000000.0;25364000000.0;6.14
AFL;2013-12-31;2543000000.0;3158000000.0;121307000000.0;14620000000.0;106687000000.0;23939000000.0;6.8
AFL;2014-12-31;4658000000.0;2951000000.0;119767000000.0;18347000000.0;101420000000.0;22728000000.0;6.54
AFL;2015-12-31;4350000000.0;2533000000.0;118296000000.0;17708000000.0;100588000000.0;20872000000.0;5.88
AIG;2012-12-31;1151000000.0;3438000000.0;548633000000.0;98002000000.0;450631000000.0;71214000000.0;
AIG;2013-12-31;2241000000.0;9085000000.0;541329000000.0;100470000000.0;440859000000.0;68874000000.0;6.16
AIG;2014-12-31;1758000000.0;7529000000.0;515581000000.0;106898000000.0;408683000000.0;64406000000.0;5.27
AIG;2015-12-31;1629000000.0;2196000000.0;496943000000.0;89658000000.0;407285000000.0;58327000000.0;1.69
AIV;2012-12-31;229998000.0;132456000.0;6401380000.0;915425000.0;5485955000.0;958511000.0;0.61
AIV;2013-12-31;182788000.0;207290000.0;6079413000.0;967457000.0;5111956000.0;974053000.0;1.4
AIV;2014-12-31;120416000.0;309249000.0;6097028000.0;1227735000.0;4869293000.0;984363000.0;2.06
AIV;2015-12-31;137745000.0;248710000.0;6144194000.0;1622391000.0;4521803000.0;981310000.0;1.52
AIZ;2013-12-31;1717184000.0;488907000.0;29714689000.0;4833479000.0;24881210000.0;9047657000.0;6.38
AIZ;2014-12-31;1318656000.0;470907000.0;31562466000.0;5181307000.0;26381159000.0;10381653000.0;6.52
AIZ;2015-12-31;1288305000.0;141555000.0;30036402000.0;4523967000.0;25512435000.0;10325494000.0;2.08
AIZ;2016-12-31;1031971000.0;565350000.0;29709128000.0;4098100000.0;25611028000.0;7531780000.0;
AJG;2013-12-31;1325500000.0;268600000.0;6860500000.0;2085500000.0;4775000000.0;3179600000.0;2.08
AJG;2014-12-31;1682000000.0;303400000.0;10010000000.0;3229400000.0;6780600000.0;4626500000.0;1.98
AJG;2015-12-31;1892500000.0;356800000.0;10910500000.0;3638300000.0;7272200000.0;5392400000.0;2.07
AJG;2016-12-31;1937600000.0;414400000.0;11489600000.0;3596600000.0;7893000000.0;5594800000.0;
AKAM;2012-12-31;201989000.0;203989000.0;2600627000.0;2345754000.0;254873000.0;1373947000.0;1.15
AKAM;2013-12-31;333891000.0;293487000.0;2957685000.0;2629431000.0;328254000.0;1577922000.0;1.65
AKAM;2014-12-31;238650000.0;333948000.0;4001546000.0;2945335000.0;1056211000.0;1963874000.0;1.87
AKAM;2015-12-31;289473000.0;321406000.0;4187925000.0;3120878000.0;1067047000.0;2197448000.0;1.8
ALB;2012-12-31;477696000.0;311536000.0;3437291000.0;1833598000.0;1603693000.0;2519154000.0;3.49
ALB;2013-12-31;477239000.0;413171000.0;3584797000.0;1627361000.0;1957436000.0;2394270000.0;4.93
ALB;2014-12-31;2489768000.0;133316000.0;5223103000.0;1359465000.0;3863638000.0;2445548000.0;1.69
ALB;2015-12-31;213734000.0;334906000.0;9615014000.0;3254392000.0;6360622000.0;3651335000.0;3.01
ALK;2012-12-31;174000000.0;316000000.0;5505000000.0;1421000000.0;4084000000.0;4657000000.0;4.47
ALK;2013-12-31;80000000.0;508000000.0;5838000000.0;2029000000.0;3809000000.0;5156000000.0;7.26
ALK;2014-12-31;107000000.0;605000000.0;6064000000.0;2127000000.0;3937000000.0;5368000000.0;4.47
ALK;2015-12-31;73000000.0;848000000.0;6533000000.0;2411000000.0;4122000000.0;5598000000.0;6.61
ALL;2012-12-31;806000000.0;2306000000.0;126947000000.0;20580000000.0;106367000000.0;33315000000.0;4.71
ALL;2013-12-31;675000000.0;2280000000.0;123520000000.0;21480000000.0;102040000000.0;34507000000.0;4.87
ALL;2014-12-31;657000000.0;2850000000.0;108479000000.0;22304000000.0;86175000000.0;35239000000.0;6.37
ALL;2015-12-31;495000000.0;2171000000.0;104656000000.0;20025000000.0;84631000000.0;35653000000.0;5.12
ALLE;2013-12-31;267600000.0;32300000.0;2000600000.0;-66100000.0;2066700000.0;2069600000.0;
ALLE;2014-12-31;290500000.0;175200000.0;2015900000.0;-4800000.0;2020700000.0;2118300000.0;1.82
ALLE;2015-12-31;199700000.0;153900000.0;2263000000.0;25600000.0;2237400000.0;2068100000.0;1.6
ALLE;2016-12-31;312400000.0;229100000.0;2247400000.0;113300000.0;2134100000.0;2238000000.0;
ALXN;2013-12-31;529857000.0;252895000.0;3317696000.0;2382079000.0;935617000.0;1551346000.0;1.29
ALXN;2014-12-31;943999000.0;657000000.0;4201962000.0;3302018000.0;899944000.0;2234000000.0;3.32
ALXN;2015-12-31;1010000000.0;144000000.0;13097000000.0;8259000000.0;4838000000.0;2604000000.0;0.68
ALXN;2016-12-31;966000000.0;399000000.0;13253000000.0;8694000000.0;4559000000.0;3084000000.0;
AMAT;2013-10-27;1711000000.0;256000000.0;12043000000.0;7088000000.0;4955000000.0;7509000000.0;0.21
AMAT;2014-10-26;3002000000.0;1072000000.0;13174000000.0;7868000000.0;5306000000.0;9072000000.0;0.88
AMAT;2015-10-25;4797000000.0;1377000000.0;15308000000.0;7613000000.0;7695000000.0;9659000000.0;1.13
AMAT;2016-10-30;3406000000.0;1721000000.0;14588000000.0;7217000000.0;7371000000.0;10825000000.0;1.56
AME;2012-12-31;157984000.0;459132000.0;5190056000.0;2535151000.0;2654905000.0;3334213000.0;1.9
AME;2013-12-31;295203000.0;516999000.0;5877902000.0;3136121000.0;2741781000.0;3594136000.0;2.12
AME;2014-12-31;377615000.0;584460000.0;6420963000.0;3239561000.0;3181402000.0;4021964000.0;2.39
AME;2015-12-31;381005000.0;590859000.0;6664530000.0;3254626000.0;3409904000.0;3974295000.0;2.46
AMG;2012-12-31;430400000.0;174000000.0;6187100000.0;2084200000.0;4102900000.0;1748600000.0;3.36
AMG;2013-12-31;469600000.0;360500000.0;6318800000.0;2134200000.0;4184600000.0;2069800000.0;6.79
AMG;2014-12-31;550600000.0;452100000.0;7698100000.0;2627000000.0;5071100000.0;2404200000.0;8.22
AMG;2015-12-31;563800000.0;516000000.0;7784800000.0;2837100000.0;4947700000.0;2435900000.0;9.49
AMGN;2013-12-31;3805000000.0;5081000000.0;66125000000.0;22096000000.0;44029000000.0;18676000000.0;6.75
AMGN;2014-12-31;3731000000.0;5158000000.0;69009000000.0;25778000000.0;43231000000.0;20063000000.0;6.8
AMGN;2015-12-31;4144000000.0;6939000000.0;71449000000.0;28083000000.0;43366000000.0;21662000000.0;9.15
AMGN;2016-12-31;3241000000.0;7722000000.0;77626000000.0;29875000000.0;47751000000.0;22991000000.0;
AMP;2012-12-31;4909000000.0;1029000000.0;134729000000.0;9092000000.0;125637000000.0;10259000000.0;4.7
AMP;2013-12-31;5411000000.0;1334000000.0;144576000000.0;8192000000.0;136384000000.0;11230000000.0;6.56
AMP;2014-12-31;5642000000.0;1619000000.0;148810000000.0;8124000000.0;140686000000.0;12296000000.0;8.45
AMP;2015-12-31;5808000000.0;1562000000.0;145342000000.0;7217000000.0;138125000000.0;12200000000.0;8.6
AMT;2012-12-31;437934000.0;637283000.0;14089429000.0;3573101000.0;10516328000.0;2875960000.0;1.61
AMT;2013-12-31;446492000.0;551333000.0;20283665000.0;3534165000.0;16749500000.0;3361407000.0;1.4
AMT;2014-12-31;473698000.0;824910000.0;21263565000.0;3953560000.0;17310005000.0;4100048000.0;2.02
AMT;2015-12-31;462879000.0;685074000.0;26904272000.0;6651679000.0;20252593000.0;4771516000.0;1.42
AMZN;2013-12-31;8658000000.0;274000000.0;40159000000.0;9746000000.0;30413000000.0;74452000000.0;0.6
AMZN;2014-12-31;14557000000.0;-241000000.0;54505000000.0;10741000000.0;43764000000.0;88988000000.0;-0.52
AMZN;2015-12-31;15890000000.0;596000000.0;64747000000.0;13384000000.0;51363000000.0;107006000000.0;1.28
AMZN;2016-12-31;19334000000.0;2371000000.0;83402000000.0;19285000000.0;64117000000.0;135987000000.0;
AN;2013-12-31;69200000.0;374900000.0;7914100000.0;2061700000.0;5852400000.0;17517600000.0;3.09
AN;2014-12-31;75400000.0;418700000.0;8399700000.0;2072100000.0;6327600000.0;19108800000.0;3.57
AN;2015-12-31;74100000.0;442600000.0;9548200000.0;2349300000.0;7198900000.0;20862000000.0;3.93
AN;2016-12-31;64800000.0;430500000.0;10060000000.0;2310300000.0;7749700000.0;21609000000.0;
ANTM;2012-12-31;2475300000.0;2655500000.0;58955400000.0;23802700000.0;35152700000.0;61497200000.0;8.26
ANTM;2013-12-31;1582100000.0;2489700000.0;59574500000.0;24765200000.0;34809300000.0;71023500000.0;8.34
ANTM;2014-12-31;2151700000.0;2569700000.0;61676300000.0;24251300000.0;37425000000.0;73874100000.0;9.31
ANTM;2015-12-31;2113500000.0;2560000000.0;61717800000.0;23044100000.0;38673700000.0;79156500000.0;9.73
AON;2012-12-31;291000000.0;993000000.0;30486000000.0;7762000000.0;22724000000.0;11514000000.0;3.03
AON;2013-12-31;477000000.0;1113000000.0;30251000000.0;8145000000.0;22106000000.0;11815000000.0;3.57
AON;2014-12-31;374000000.0;1397000000.0;29772000000.0;6571000000.0;23201000000.0;12045000000.0;4.73
AON;2015-12-31;384000000.0;1385000000.0;27164000000.0;6106000000.0;21058000000.0;11682000000.0;4.93
APA;2012-12-31;160000000.0;2001000000.0;60737000000.0;31331000000.0;29406000000.0;16428000000.0;4.95
APA;2013-12-31;1906000000.0;2288000000.0;61637000000.0;33396000000.0;28241000000.0;14771000000.0;5.53
APA;2014-12-31;769000000.0;-5060000000.0;55952000000.0;25937000000.0;30015000000.0;12691000000.0;-14.06
APA;2015-12-31;1467000000.0;-23528000000.0;18842000000.0;2566000000.0;16276000000.0;6383000000.0;-61.2
APC;2013-12-31;3698000000.0;801000000.0;55781000000.0;21857000000.0;33924000000.0;14581000000.0;1.58
APC;2014-12-31;7369000000.0;-1750000000.0;60967000000.0;19725000000.0;41242000000.0;18470000000.0;-3.47
APC;2015-12-31;939000000.0;-6692000000.0;46331000000.0;12819000000.0;33512000000.0;8698000000.0;-13.18
APC;2016-12-31;3184000000.0;-3071000000.0;45564000000.0;12212000000.0;33352000000.0;7869000000.0;
APD;2013-09-30;450400000.0;994200000.0;17850100000.0;7042100000.0;10808000000.0;10180400000.0;4.74
APD;2014-09-30;336600000.0;991700000.0;17779100000.0;7365800000.0;10413300000.0;10439000000.0;4.66
APD;2015-09-30;206400000.0;1277900000.0;17334500000.0;7249000000.0;10085500000.0;9894900000.0;5.95
APD;2016-09-30;1501300000.0;631100000.0;18055300000.0;7079600000.0;10975700000.0;9524400000.0;2.92
APH;2012-12-31;690850000.0;555300000.0;5215463000.0;2429959000.0;2785504000.0;4292100000.0;3.44
APH;2013-12-31;886800000.0;635700000.0;6168000000.0;2859500000.0;3308500000.0;4614700000.0;4.0
