Ticker Symbol,Period Ending,Cash and Cash Equivalents,Net Income,Total Assets,Total Equity,Total Liabilities,Total Revenue,Earnings Per Share
AAL,2012-12-31,1330000000.0,-1876000000.0,23510000000.0,-7987000000.0,24891000000.0,24855000000.0,-5.6
AAP,2012-12-29,598111000.0,387670000.0,4613814000.0,1210694000.0,3403120000.0,6205003000.0,5.29
ABBV,2012-12-31,5901000000.0,5275000000.0,27008000000.0,-350000000.0,27358000000.0,18380000000.0,
ABT,2012-12-31,10802000000.0,5963000000.0,67235000000.0,26721000000.0,40514000000.0,19050000000.0,3.76
ADM,2012-12-31,5352000000.0,1375000000.0,45136000000.0,18920000000.0,26005000000.0,90559000000.0,
ADS,2012-12-31,1386042000.0,422256000.0,12000139000.0,528487000.0,11471652000.0,3641390000.0,8.44
AEE,2012-12-31,184000000.0,-974000000.0,22230000000.0,6616000000.0,15614000000.0,5781000000.0,-4.01
AEP,2012-12-31,355000000.0,1259000000.0,54367000000.0,15237000000.0,39130000000.0,14945000000.0,2.6
AFL,2012-12-31,2041000000.0,2866000000.0,131094000000.0,15978000000.0,115116000000.0,25364000000.0,6.14
AIG,2012-12-31,1151000000.0,3438000000.0,548633000000.0,98002000000.0,450631000000.0,71214000000.0,
AIV,2012-12-31,229998000.0,132456000.0,6401380000.0,915425000.0,5485955000.0,958511000.0,0.61
AKAM,2012-12-31,201989000.0,203989000.0,2600627000.0,2345754000.0,254873000.0,1373947000.0,1.15
ALB,2012-12-31,477696000.0,311536000.0,3437291000.0,1833598000.0,1603693000.0,2519154000.0,3.49
ALK,2012-12-31,174000000.0,316000000.0,5505000000.0,1421000000.0,4084000000.0,4657000000.0,4.47
ALL,2012-12-31,806000000.0,2306000000.0,126947000000.0,20580000000.0,106367000000.0,33315000000.0,4.71
AME,2012-12-31,157984000.0,459132000.0,5190056000.0,2535151000.0,2654905000.0,3334213000.0,1.9
AMG,2012-12-31,430400000.0,174000000.0,6187100000.0,2084200000.0,4102900000.0,1748600000.0,3.36
AMP,2012-12-31,4909000000.0,1029000000.0,134729000000.0,9092000000.0,125637000000.0,10259000000.0,4.7
AMT,2012-12-31,437934000.0,637283000.0,14089429000.0,3573101000.0,10516328000.0,2875960000.0,1.61
ANTM,2012-12-31,2475300000.0,2655500000.0,58955400000.0,23802700000.0,35152700000.0,61497200000.0,8.26
AON,2012-12-31,291000000.0,993000000.0,30486000000.0,7762000000.0,22724000000.0,11514000000.0,3.03
APA,2012-12-31,160000000.0,2001000000.0,60737000000.0,31331000000.0,29406000000.0,16428000000.0,4.95
APH,2012-12-31,690850000.0,555300000.0,5215463000.0,2429959000.0,2785504000.0,4292100000.0,3.44
ARNC,2012-12-31,1861000000.0,191000000.0,40179000000.0,13199000000.0,26980000000.0,23700000000.0,0.18
ATVI,2012-12-31,3959000000.0,1149000000.0,14200000000.0,11317000000.0,2883000000.0,4856000000.0,1.01
AVB,2012-12-31,2733618000.0,423562000.0,11160078000.0,6837215000.0,4322863000.0,1000627000.0,4.34
AVY,2012-12-31,235400000.0,215400000.0,5105300000.0,1580900000.0,3524400000.0,5863500000.0,
AWK,2012-12-31,54189000.0,358070000.0,14718976000.0,4444988000.0,10255127000.0,2853926000.0,2.03
AXP,2012-12-31,27526000000.0,4482000000.0,153140000000.0,18886000000.0,134254000000.0,33781000000.0,3.91
BAC,2012-12-31,626626000000.0,4188000000.0,2209974000000.0,236956000000.0,1973018000000.0,100078000000.0,0.26
BAX,2012-12-31,3270000000.0,2326000000.0,20390000000.0,6938000000.0,13452000000.0,13936000000.0,4.22
BBT,2012-12-31,42267000000.0,1979000000.0,184499000000.0,21158000000.0,163341000000.0,10737000000.0,2.74
BBY,2012-03-03,1199000000.0,-1231000000.0,16005000000.0,3745000000.0,12260000000.0,45457000000.0,-3.36
BK,2012-12-31,145340000000.0,2437000000.0,358990000000.0,36431000000.0,322559000000.0,14528000000.0,2.04
BLL,2012-12-31,174100000.0,396300000.0,7507100000.0,1114600000.0,6392500000.0,8735700000.0,2.61
BMY,2012-12-31,1656000000.0,1960000000.0,35897000000.0,13623000000.0,22274000000.0,17621000000.0,1.17
BSX,2012-12-31,207000000.0,-4068000000.0,17154000000.0,6870000000.0,10284000000.0,7249000000.0,-2.89
BXP,2012-12-31,1041978000.0,289650000.0,15462321000.0,5097065000.0,10254380000.0,1847186000.0,1.93
