Area_Code,Country_Origin,Year,AsylumSeekersNumber,InternationalMigrantStock_Percentage,InternationalMigrantStock_BothSexesNumber,InternationalMigrantStock_FemalePercentage,InternationalMigrantStock_MalePercentage,OtherOfConcernToUNHCR,TotalPopulationOfConcern,TotalRefugees
1,"Total, all countries or areas",2005,,2.929,191615574.0,2.8888,2.9686,,,
1,"Total, all countries or areas",2010,,3.1736,220781909.0,3.0941,3.2517,,,
1,"Total, all countries or areas",2015,2343919.0,3.3722,248861296.0,3.2794,3.4634,40518150.0,57959702.0,15097633.0
1,"Total, all countries or areas",2019,3727291.0,3.5217,271642105.0,3.4032,3.6381,55432149.0,79391372.0,20231932.0
2,Africa,2005,,1.7431,15969835.0,1.5894,1.8979,,,
2,Africa,2010,,1.7131,17804198.0,1.5856,1.8412,,,
2,Africa,2015,1044031.0,1.9854,23476251.0,1.8526,2.1186,11530138.0,17067308.0,4493139.0
2,Africa,2019,603498.0,2.0281,26529334.0,1.9049,2.1516,22807473.0,30073778.0,6662807.0
4,Afghanistan,2005,14.0,0.3403,87300.0,0.3063,0.3722,159551.0,159597.0,32.0
4,Afghanistan,2010,30.0,0.3503,102246.0,0.3125,0.3864,1193523.0,1199987.0,6434.0
4,Afghanistan,2015,101.0,1.4231,489749.0,1.444,1.4034,1195604.0,1421419.0,225714.0
4,Afghanistan,2019,264.0,0.3937,149762.0,0.404,0.3839,2753903.0,2826398.0,72231.0
5,South America,2005,,1.2178,4527868.0,1.2234,1.2121,,,
5,South America,2010,,1.321,5185614.0,1.3241,1.3179,,,
5,South America,2015,,1.4727,6072903.0,1.4734,1.472,,,
5,South America,2019,,1.9243,8220807.0,1.913,1.9361,,,
8,Albania,2005,35.0,2.0973,64739.0,2.0684,2.1259,1.0,92.0,56.0
8,Albania,2010,23.0,1.7905,52784.0,1.7692,1.8114,,99.0,76.0
8,Albania,2015,501.0,1.8001,52031.0,1.7979,1.8021,7443.0,8098.0,154.0
8,Albania,2019,233.0,1.7064,49160.0,1.7047,1.7081,3896.0,4274.0,145.0
9,Oceania,2005,,17.8788,6023412.0,18.0431,17.715,,,
9,Oceania,2010,,19.3303,7127680.0,19.5206,19.1411,,,
